"modelName","serialNumber","inspectionDate","hoursPerWeek","hourMeterReading","TrackLinkInstalledDate","TrackLinkWornValueLeft","TrackLinkWornValueRight"
"D7RII","AEC01698","2017-08-15T13:28:36-0500","40","","""2010-07-16T00:00:00Z""","11","13"
"650H","879047","2017-05-16T00:00:00-0400","40","12247","""2017-04-07T00:00:00Z""","","--"
"336D2L","ZCT01101","2018-01-04","84","2081","""""","28","24"
"330DL","JLP00636","2017-05-04T00:00:00-0300","","15172","""""","82","82"
"D5KIIXL","KW202276","2018-05-10","40","596","""""","<0","<0"
"D6TXL","GCT002212","2017-08-28T15:24:02-0500","40","1611","""2017-08-12T00:00:00Z""","62",""
"D6TXL","GCT002212","2017-08-28T15:24:02-0500","40","1611","""2017-08-12T00:00:00Z""","",""
"D6TXL","GCT002212","2017-08-28T15:24:02-0500","40","1611","""2017-08-12T00:00:00Z""","",""
"D6TXL","GCT002212","2017-08-28T15:24:02-0500","40","1611","""2017-08-12T00:00:00Z""","",""
"D6K2","RST01061","2017-08-15T00:00:00Z","40","1658","""2017-05-14T19:00:00-0500""","24","21"
"D3KIIXL","KFF00305","2018-04-04","40","2380","""2014-04-16T00:00:00-0400""","16","24"
"D5NXL","AGG00581","2018-04-09","40","5275","""2004-02-06""","42","63"
"D11R","7PZ75054","2017-10-23T15:41:28-0700","40","","""2017-07-06T00:00:00Z""","42","48"
"D11T","JEL00266","2018-01-25","120","34309","""2016-09-21T20:00:00-0400""","40","42"
"D10T","RJG00842","2017-07-26T00:00:00-0400","40","13834","""2007-01-20T00:00:00Z""","69","67"
"D6TLGP","Jml00405","2018-04-30","40","941","""2018-01-01""","36","36"
"D10T","RjG02035","2018-04-09","40","41583","""2017-02-09""",">120",">120"
"D5KIILGP","KY200626","2018-06-20","40","3144","""""","72","79"
"336D2L","ZCT00291","2017-08-16T11:10:21-0500","40","5392","""2015-05-01T00:00:00-0500""","17","10"
"D11T","JEL00323","2018-02-13","40","28760","""2015-10-21T00:00:00Z""","1","1"
"D5G","FDH01220","2018-04-12","40","8916","""""","20","16"
"D6NXL","PER00582","2017-08-30T14:41:49-0700","40","","""2013-01-18T00:00:00Z""","","47"
"D7HII","5BF06066","2018-05-24","40","28498","""""","38","40"
"D8T","MLN01985","2017-09-28T09:48:21-0500","40","9658","""2016-12-20T00:00:00-0600""","20","16"
"D6TXL","LAY01397","2018-04-27","40","","""2010-06-16T00:00:00Z""","10","10"
"D8T","KPZ02170","2018-03-22","40","12539","""""","28","28"
"D11R","7PZ01307","2018-03-01","40","","""""","30","46"
"D4KIIXL","KM200156","2018-06-19","7.94","1157","""2015-09-01T00:00:00-0400""","0","0"
